fig;cod;group;dpto;mcpio;kw;users;type;storage;conection;rev_e1;name_e1;date_e1;result_e1;observation_e1;rev_e2;name_e2;date_e2;result_e2;observation_e2;rev_c1;name_c1;date_c1;result_c1;observation_c1;rev_c2;name_c2;date_c2;result_c2;observation_c2;rev_f1;name_f1;date_f1;result_f1;observation_f1;rev_f2;name_f2;date_f2;result_f2;observation_f2;comments
Junta de acción comunal de la vereda santo domingo de la localidad 20 de Sumapaz;C0311001-CO-00434;Campesinos;Bogotá D.C.;Bogotá D.C.;1004;15;SSFV INDIVIDUAL;No;SIN;1;Jaime Buitrago;5/05/2025;Devolución con observaciones;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Maecenas porttitor congue massa. Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet ;2;Juan Lizarazo;6/05/2025;Aprobado;;1;Carlos Forero;5/05/2025;Devolución con observaciones;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Maecenas porttitor congue massa. Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet ;2;Jaime Buitrago;7/05/2025;Aprobado;;1;Jaime Buitrago;11/05/2025;Aprobado;;2;;;;;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Maecenas porttitor congue massa. Fusce posuere, magna sed pulvinar ultricies, purus lectus malesuada libero, sit amet 
Asociación de Campesinos de Buenos Aires / Proyectos en ingeniería ambiente y energía  S.A.S. PRIAME S.A.S;C0313268-PE-00145;Víctimas;Bolívar;El Peñón;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Junta de Acción comunal de la vereda pueblo Nuevo Mejía;C0391263-CO-00028;Campesinos;Bolívar;San Martin de Loba;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación de mujeres rurales afro mineras - Barequeras víctimas del conflicto armado de Barranco de Loba- AFROMINBA;C0313074-PE-00170;Víctimas;Bolívar;Barranco de Loba;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación de Juntas de acción comunal de Santa Rosa del Sur;C0313688-CO-00505;Campesinos;Bolívar;Santa Rosa del Sur;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación de autoridades tradicionales UH WALA VXIC;C0319473-GE-00463;Indígena;Cauca;Morales;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Consejo Comunitario Parte Alta Sur del Río Saija / DEPI S.A.S;C0319809-PE-00426;Afrodescendiente;Cauca;Timbiquí;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación de mujeres afrotimbiquireñas constructoras de paz para el rescate, fortalecimiento y la reivindicación, de derechos en el municipio de Timbiquí -Cauca;C0319809-CO-00035;Afrodescendiente;Cauca;Timbiquí;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Consejo Comunitario Renacer Negro / Jarinson Javier Klinger Bonilla;C0319809-PE-00435;Afrodescendiente;Cauca;Timbiquí;;;;;ZNI;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación afromirandeña ASOFRAMI;C0319455-GE-00391;Afrodescendiente;Cauca;Miranda;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Asociación movimiento campesino de Cajibío;C0319130-CO-00357;Campesinos;Cauca;Cajibío;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
Cooperativa multiactiva esperanza del pueblo - COOMEEP;C0319137-PE-00423;AETCR;Cauca;Caldono;;;;;SIN;1;;;;;2;;;;;1;;;;;2;;;;;1;;;;;2;;;;;
